sim_id,nFlows,nRouters,coredelay,nGroups,fwin,thp,retr,timeout,redun,fmaxcount,lossr,effrec,fr,lostret,fmax
fecend,20,3,10,1,9,86.14,0.174,7,10.005,11782.1,0.167,0.00000,159.3,102.48,10
fecend,20,3,10,1,32,92.23,0.147,19,2.912,53.6,0.145,0.00000,142.2,101.46,100
fecend,20,3,10,1,17,90.11,0.163,5,5.189,5551.7,0.154,0.00000,149.7,102.65,20
fecend,20,3,10,1,29,92.11,0.149,19,3.057,883,0.147,0.00000,139.7,101.44,50
fecend,20,3,10,1,31,92.24,0.152,31,2.956,256.35,0.149,0.00000,143.6,102.18,75
fecend,20,3,10,3,20,84.87,0.260,37,12.817,2662.3,0.395,1.06458,143.7,65.46,10
fecend,20,3,10,3,29,87.38,0.276,51,9.636,0.05,0.359,1.00297,138.8,75.80,100
fecend,20,3,10,3,27,87.00,0.279,40,9.981,530.6,0.371,1.01588,134.9,74.14,20
fecend,20,3,10,3,29,87.31,0.294,36,9.676,9.95,0.384,1.05521,137.3,75.78,50
fecend,20,3,10,3,29,87.38,0.276,51,9.636,0.2,0.359,1.00297,138.8,75.80,75
fecend,20,3,10,5,23,81.80,0.374,103,17.669,716.85,0.554,1.04684,132.7,67.06,10
fecend,20,3,10,5,25,82.33,0.355,92,16.890,0,0.515,0.97303,128.3,68.69,100
fecend,20,3,10,5,25,82.07,0.361,69,17.263,23.75,0.526,0.97381,129.3,68.36,20
fecend,20,3,10,5,25,82.33,0.355,92,16.890,0.05,0.515,0.97303,128.3,68.69,50
fecend,20,3,10,5,25,82.33,0.355,92,16.890,0,0.515,0.97303,128.3,68.69,75
fecend,20,3,10,7,23,78.44,0.566,191,22.193,125.8,1.008,2.03696,124.5,55.99,10
fecend,20,3,10,7,23,78.21,0.567,182,22.449,2.85,1.004,1.99366,123.4,56.40,20
fecend,20,3,10,7,20,32.67,0.600,69,22.749,0.05,1.042,1.88995,47.5,56.89,50
fecend,20,3,100,1,9,80.83,0.136,13,10.001,11146,0.132,0.00000,12.8,103.26,10
fecend,20,3,100,1,81,87.42,0.132,15,1.132,922.8,0.128,0.00000,12.2,102.57,100
fecend,20,3,100,1,18,85.50,0.138,10,5.003,5893.45,0.133,0.00000,13.6,103.31,20
fecend,20,3,100,1,45,86.35,0.132,15,2.020,2334.05,0.128,0.00000,12.2,103.09,50
fecend,20,3,100,1,66,86.48,0.132,15,1.383,1453.7,0.128,0.00000,11.6,102.84,75
fecend,20,3,100,3,27,84.56,0.120,9,10.026,3869.6,0.134,0.16992,11.1,83.77,10
fecend,20,3,100,3,120,90.59,0.159,9,2.534,46.6,0.163,0.23814,11.6,95.91,100
fecend,20,3,100,3,51,88.84,0.138,9,5.249,1908.75,0.146,0.24652,12.2,88.20,20
fecend,20,3,100,3,103,90.31,0.148,10,2.721,445.65,0.146,0.22654,10.6,94.79,50
fecend,20,3,100,3,119,89.61,0.179,8,2.434,92.05,0.179,0.24923,10.7,97.70,75
fecend,20,3,100,5,42,84.72,0.138,7,10.567,2204.1,0.163,0.24856,13.2,82.16,10
fecend,20,3,100,5,117,89.13,0.181,8,4.364,0.25,0.187,0.20497,11.3,95.01,100
fecend,20,3,100,5,68,88.30,0.185,10,6.647,900.1,0.200,0.29587,13.8,88.97,20
fecend,20,3,100,5,113,89.47,0.173,7,4.563,98.65,0.181,0.21183,11.0,95.15,50
fecend,20,3,100,5,116,88.03,0.222,9,4.388,5.1,0.229,0.24878,10.8,95.69,75
fecend,20,3,100,7,54,84.46,0.167,8,11.664,1429,0.196,0.27377,12.9,83.01,10
fecend,20,3,100,7,112,87.17,0.254,9,6.211,0.05,0.264,0.21819,10.1,94.73,100
fecend,20,3,100,7,91,87.44,0.183,6,7.172,492.9,0.195,0.20188,11.4,91.49,20
fecend,20,3,100,7,113,88.11,0.188,5,6.454,7.55,0.198,0.17920,10.7,93.36,50
fecend,20,3,100,7,113,87.81,0.188,7,6.502,0.2,0.199,0.19279,10.7,93.17,75
fecend,20,3,100,9,62,83.54,0.186,12,13.208,947.95,0.220,0.26813,13.2,82.64,10
fecend,20,3,100,9,107,85.58,0.261,9,8.486,0,0.277,0.20140,10.9,93.36,100
