sim_id,nFlows,nRouters,coredelay,nGroups,fwin,thp,retr,timeout,redun,fmaxcount,lossr,effrec,fr,lostret,fmax
fecend,10,11,100,1,32,78.16,0.103,5,2.861,6153.9,0.102,0.00000,3.4,101.14,10
fecend,10,11,100,1,32,78.26,0.100,5,2.861,6163.2,0.099,0.00000,3.6,101.09,20
fecend,10,11,100,3,95,82.29,0.095,7,2.872,2145.1,0.094,0.04884,2.4,99.27,10
fecend,10,11,100,3,95,87.71,0.088,2,2.862,2287.9,0.089,0.05766,2.6,98.32,20
fecend,20,11,100,1,32,83.76,0.141,5,2.861,3299.15,0.134,0.00000,7.0,103.10,10
fecend,20,11,100,1,32,84.77,0.136,5,2.861,3338.8,0.129,0.00000,7.1,103.03,20
fecend,20,11,100,3,87,88.70,0.152,6,3.104,1029.3,0.147,0.18388,6.5,97.18,10
fecend,20,11,100,3,88,89.21,0.138,5,2.924,1052.65,0.137,0.20429,6.8,96.31,20
fecend,10,13,100,1,32,78.25,0.131,4,2.860,6163.4,0.121,0.00000,3.2,104.78,10
fecend,10,13,100,1,32,78.39,0.126,4,2.860,6176,0.118,0.00000,3.3,104.93,20
fecend,10,13,100,3,95,82.02,0.117,6,2.867,2141,0.111,0.02741,2.4,104.36,10
fecend,10,13,100,3,95,86.83,0.118,3,2.862,2271,0.110,0.05620,2.4,102.81,20
fecend,20,13,100,1,32,83.86,0.152,8,2.862,3303.2,0.145,0.00000,6.0,104.15,10
fecend,20,13,100,1,32,85.17,0.158,8,2.862,3355.65,0.150,0.00000,6.5,104.12,20
fecend,20,13,100,3,91,88.28,0.159,8,2.976,1065,0.154,0.15653,5.5,99.17,10
fecend,20,13,100,3,89,89.51,0.154,5,2.918,1078.15,0.151,0.17728,5.8,98.63,20
fecend,10,15,100,1,32,73.22,0.120,6,2.862,5765.8,0.116,0.00000,2.9,103.02,10
fecend,10,15,100,1,32,73.04,0.122,6,2.861,5752.4,0.118,0.00000,2.8,102.95,20
fecend,10,15,100,3,95,77.08,0.113,7,2.876,2007.3,0.110,0.03484,1.9,101.70,10
fecend,10,15,100,3,95,81.75,0.110,4,2.861,2137.4,0.107,0.04488,2.0,100.86,20
fecend,20,15,100,1,32,83.72,0.176,8,2.862,3298.1,0.168,0.00000,5.7,103.35,10
fecend,20,15,100,1,32,85.04,0.182,8,2.862,3351.35,0.174,0.00000,6.0,103.35,20
fecend,20,15,100,3,89,87.95,0.193,9,3.068,1055.6,0.189,0.18095,5.3,98.01,10
fecend,20,15,100,3,93,87.87,0.176,8,2.906,1089,0.172,0.15127,4.7,99.82,20
fecend,10,5,100,1,32,83.62,0.100,3,2.859,6583.4,0.097,0.00000,5.2,102.01,10
fecend,10,5,100,1,32,83.15,0.110,4,2.860,6547.1,0.105,0.00000,5.2,103.37,20
fecend,10,5,100,3,95,87.12,0.097,6,2.878,2256.3,0.095,0.08880,4.1,99.83,10
fecend,10,5,100,3,92,89.33,0.115,3,2.892,2270,0.114,0.11240,5.2,97.37,20
fecend,20,5,100,1,32,86.17,0.138,8,2.862,3389.45,0.132,0.00000,10.6,103.17,10
fecend,20,5,100,1,32,86.42,0.131,9,2.861,3401.9,0.125,0.00000,11.0,103.35,20
fecend,20,5,100,3,83,90.08,0.142,9,3.198,949.9,0.142,0.22514,9.6,95.60,10
fecend,20,5,100,3,85,90.16,0.144,11,2.971,972.4,0.143,0.19125,9.3,96.27,20
fecend,10,7,100,1,32,78.81,0.081,4,2.862,6201.5,0.077,0.00000,4.5,104.79,10
fecend,10,7,100,1,32,81.12,0.082,4,2.861,6384.2,0.077,0.00000,5.0,104.69,20
fecend,10,7,100,3,95,82.22,0.078,7,2.885,2125.2,0.080,0.20450,2.9,91.09,10
fecend,10,7,100,3,94,87.43,0.078,5,2.886,2241.9,0.081,0.24764,3.4,92.39,20
fecend,20,7,100,1,32,84.48,0.149,8,2.863,3321.5,0.137,0.00000,9.3,105.36,10
fecend,20,7,100,1,32,84.76,0.144,9,2.864,3333.3,0.133,0.00000,9.7,105.40,20
fecend,20,7,100,3,84,88.05,0.240,10,3.210,950.1,0.255,0.67059,7.7,91.28,10
fecend,20,7,100,3,82,89.15,0.262,17,3.000,963.3,0.280,0.91498,7.7,88.58,20
fecend,10,9,100,1,32,80.56,0.102,7,2.861,6343.7,0.097,0.00000,3.6,104.73,10
